ID,Age,MonthlyIncome,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,DebtRatio,OpenCreditCardLoans,DaysPastDue90,OpenRealEstateLoans,LastYearProfit
362,30,2500,2,0.186682782,0.698120752,7,0,2,1193.0
363,56,19580,1,0.496388581,0.170164956,12,0,1,1364.0
369,57,NA,0,0.502958087,6381.0,5,0,2,1743.0
375,74,2000,0,0.292541492,0.164917541,3,0,0,492.0
378,63,6150,1,0.739146488,0.285156885,12,0,0,-2427.0
381,45,14491,3,0.522314625,0.290229092,13,0,1,866.0
386,61,20000,0,0.060733396,0.008549573,8,0,0,296.0
393,76,8200,0,0.267905614,0.285452994,12,0,0,1290.0
399,58,NA,0,0.802417179,668.0,5,1,0,-890.0
405,27,7444,0,0.006666097,2.68637E-4,5,0,0,2154.0
408,55,9700,0,0.368866624,0.437996083,18,0,2,2075.0
410,51,10173,0,0.179487766,0.492529978,19,0,4,6915.0
426,24,1200,0,0.971352432,0.035803497,3,0,0,153.0
429,79,5178,0,0.9999999,0.130140954,6,0,1,1408.0
431,55,2000,0,0.010887967,0.725137431,7,0,2,1486.0
432,57,11667,2,0.686083014,0.16069592,6,1,1,336.0
434,52,2439,0,0.006956358,0.003278689,4,0,0,2792.0
439,41,4583,0,0.026944485,0.686736475,8,0,3,547.0
444,74,3416,0,0.051077957,0.306409131,9,0,1,718.0
453,55,3166,0,0.50329934,0.454057468,5,0,2,530.0
454,61,5064,0,0.799981673,0.671076012,19,0,3,692.0
458,84,4600,0,0.023382944,0.00912845,6,0,0,253.0
463,33,5416,1,0.9999999,0.257707218,2,2,1,1291.0
467,57,6500,0,0.077958915,0.053530226,19,0,0,1884.0
471,38,10000,0,0.073393457,0.384761524,9,0,2,769.0
472,82,5000,0,0.079178219,0.176964607,3,0,1,723.0
475,52,5500,2,0.10088331,0.280494456,6,1,1,1328.0
477,66,NA,0,0.102031508,90.0,4,0,0,955.0
481,53,11266,3,0.640927271,0.52409692,17,0,2,465.0
487,59,NA,2,0.015054291,929.0,11,0,1,346.0
489,34,NA,NA,0.047587303,997.0,4,0,0,1063.0
494,43,9115,0,0.067512585,0.44723563,4,0,2,1185.0
496,31,4484,1,0.993335555,0.068227425,6,0,0,3679.0
498,51,3800,0,0.193584801,0.532754538,13,0,2,2245.0
499,28,6000,0,0.001124859,0.057990335,8,1,0,1716.0
500,51,6583,0,0.485558448,0.09963548,5,0,0,634.0
503,42,7416,3,0.38480769,0.533099636,5,0,1,1409.0
504,33,2497,0,0.183676155,0.660528423,9,0,1,340.0
508,49,6993,1,0.052161271,0.067629397,5,0,0,1095.0
512,49,5000,0,0.091201293,0.568886223,15,0,2,1476.0
520,44,8916,1,0.289470539,0.4825614,17,0,2,900.0
524,58,6204,0,0.029692431,0.287187752,19,0,1,1300.0
525,62,7416,0,0.01255887,0.044762033,5,0,0,539.0
527,47,NA,NA,0.074201053,1215.0,4,0,1,1139.0
528,42,3600,1,0.551889862,0.790613718,18,0,2,1139.0
533,55,1266,0,0.312068793,0.127071823,5,0,0,419.0
536,62,NA,3,0.749602291,7963.0,7,0,2,552.0
537,52,10480,1,0.955545894,0.524949909,11,0,3,-7929.0
540,45,8836,1,0.9543957,0.4842141,10,0,1,1401.0
541,27,3900,1,0.188256123,0.881825173,6,0,1,841.0
542,24,NA,NA,1.245847176,499.0,4,1,0,1133.0
543,37,6120,0,0.014049887,0.674399608,9,0,1,694.0
549,40,7200,0,0.9999999,0.60616581,6,0,3,650.0
559,34,NA,0,0.004552998,3.0,2,0,0,629.0
561,38,3250,3,0.285342534,0.08951092,4,0,0,3406.0
568,55,9000,0,0.486651335,0.324741695,10,0,2,1206.0
570,37,1436,1,0.875440658,0.437717467,5,0,0,869.0
573,89,2500,0,0.339503567,0.549380248,9,3,0,-6084.0
575,75,8289,0,0.008684579,0.0013269,5,0,0,1626.0
580,61,10000,1,0.650432993,0.368063194,10,0,1,1146.0
582,40,2400,0,0.9999999,0.185755935,1,2,0,533.0
587,45,3775,3,0.293041811,0.373940678,5,0,1,547.0
588,49,4800,4,0.9999999,0.098937721,1,0,0,885.0
593,36,5833,1,0.250818316,0.240143984,6,0,2,1268.0
594,54,6048,1,0.181579946,0.3539428,9,0,1,636.0
596,63,6283,1,0.048911121,0.102800764,4,0,0,783.0
600,51,5833,1,0.387065977,0.350874186,12,0,1,-1846.0
604,49,33333,4,0.019153961,0.201025979,6,0,3,850.0
610,62,6584,0,0.124801376,0.566894457,15,0,2,1697.0
611,62,5212,0,0.016995185,0.002301937,4,0,0,600.0
613,44,2080,0,0.211206477,0.2138395,13,1,0,3286.0
616,69,NA,NA,0.086605363,73.0,2,0,0,718.0
617,71,NA,NA,0.069069784,1468.0,3,0,1,786.0
621,41,6665,1,0.063688754,0.266876688,8,0,0,1082.0
626,75,16059,0,0.014441183,0.145703611,8,0,1,563.0
629,30,NA,0,0.024305835,1581.0,6,0,1,583.0
636,49,4500,2,0.883182488,0.183736947,18,0,0,1085.0
639,64,2334,0,0.021319787,0.24496788,13,0,1,1262.0
640,28,2416,0,0.281880372,0.179975176,7,0,0,209.0
643,37,12667,3,0.402345742,0.337622356,16,0,2,-1266.0
654,51,16984,4,0.314685703,0.160317928,13,0,2,-761.0
659,70,NA,0,0.005196165,1514.0,9,0,2,873.0
660,49,4800,2,0.133688867,0.093522183,7,0,0,831.0
667,47,3400,2,0.020703507,0.645104381,6,0,1,4373.0
671,40,4900,1,0.914867126,0.517037339,7,0,1,381.0
677,69,6500,1,0.042534081,0.009690817,4,0,0,1604.0
681,80,11000,0,0.099724251,0.008908281,3,0,0,1648.0
682,68,NA,0,0.030513202,48.0,6,0,0,3204.0
685,36,4117,1,0.990764426,0.361340457,4,0,0,-1240.0
686,49,11666,3,0.386084012,0.166452387,17,0,0,3787.0
693,77,7035,1,0.192722211,0.457930642,21,0,1,624.0
695,54,1082,0,0.359412083,3.874422899,22,0,1,1271.0
701,75,7876,0,0.003938695,0.199949219,11,0,2,918.0
702,36,2648,3,0.520418652,0.232918082,5,0,0,1358.0
704,52,6000,2,0.252505361,0.442592901,13,0,1,380.0
709,71,13000,0,0.092392056,0.190062303,7,0,1,1840.0
721,58,7666,0,0.238016933,0.601017347,5,0,3,1632.0
739,36,2000,0,0.473663158,0.650674663,8,0,0,743.0
743,52,NA,2,0.243842974,1321.0,9,0,1,1552.0
770,48,12000,0,0.072377744,0.399050079,9,0,2,1580.0
774,32,4000,1,0.9999999,0.132716821,1,0,0,427.0
797,60,8400,0,0.075627307,0.193786454,9,0,1,1495.0
800,27,4167,0,0.04564894,0.274952015,21,0,1,1068.0
809,33,3800,2,0.975146408,0.332280979,4,0,0,592.0
820,83,2800,0,0.19877594,0.217065334,9,0,0,788.0
827,45,3950,1,0.158100266,0.475322703,19,0,1,576.0
847,58,9453,1,0.5112397,0.963084409,13,0,3,990.0
853,51,NA,0,0.328684508,1874.0,6,0,1,856.0
866,59,11000,0,0.128419662,0.226433961,10,0,1,546.0
867,32,NA,0,0.059356682,4121.0,10,0,1,1127.0
876,55,NA,0,0.105969699,3063.0,8,0,1,204.0
878,44,12000,3,0.223055966,0.430297475,13,0,2,431.0
879,49,6006,1,0.452864285,0.330947228,10,0,1,2651.0
881,26,1871,0,0.9999999,0.137820513,1,0,0,1015.0
883,39,7916,2,0.606025418,0.375647341,10,0,2,353.0
896,54,2853,0,0.819115784,0.528381219,7,0,1,755.0
906,63,2500,0,0.00339983,0.262694922,5,0,0,605.0
908,32,2685,1,0.106475741,0.802308265,5,0,1,476.0
911,38,NA,0,0.9999999,2628.0,6,0,1,3010.0
916,51,10131,3,0.288592785,0.226213976,4,0,2,296.0
924,63,2500,0,0.822400231,0.515793683,12,0,0,763.0
925,52,NA,2,0.0427599,7806.0,21,0,2,1023.0
929,36,2700,0,0.477367751,0.339874121,6,0,0,770.0
933,63,5489,0,0.127159603,0.454098361,20,0,4,789.0
943,46,5640,2,0.083781617,0.421201915,16,0,1,934.0
954,50,2500,1,0.001882242,1.317473011,9,0,2,345.0
959,44,2665,1,0.946508915,0.148162041,5,0,0,403.0
967,50,13333,1,0.029878794,0.318734063,11,0,3,434.0
978,43,8630,1,0.352319991,0.246784845,8,0,0,3093.0
981,63,9750,2,0.066113797,0.621679828,24,0,2,926.0
990,35,3637,2,0.066928871,0.611050027,5,0,1,1149.0
993,78,6430,0,0.691722293,0.691183331,6,0,2,416.0
999,54,12400,0,0.040283239,0.135553584,11,0,1,1507.0
1002,32,8750,0,0.181442474,0.067877957,2,0,0,1375.0
1003,29,18836,2,0.863213679,0.102670277,4,0,1,2102.0
1006,36,4500,2,0.479013137,0.531659631,14,0,1,403.0
1020,36,4466,1,0.004384128,0.637788225,11,0,1,809.0
1026,38,6503,3,0.9999999,0.134071341,1,0,0,3351.0
1032,54,8400,1,0.14938018,0.428758481,14,0,1,376.0
1033,58,10300,2,0.135083219,0.065139307,7,0,0,2252.0
1034,65,2600,3,0.016221174,0.194925029,9,0,2,672.0
1040,39,11100,2,0.391214634,0.287181335,8,0,2,951.0
1041,51,8830,1,0.377915278,0.061148228,5,0,0,549.0
1049,34,8200,0,0.50009998,0.211071821,3,0,1,403.0
1051,63,2375,0,0.012538557,0.38510101,12,0,2,605.0
1055,61,13782,0,0.530405318,0.469418849,22,0,2,2209.0
1058,63,2343,0,0.101790219,0.042235495,5,0,0,1317.0
1065,35,3800,0,0.088911089,5.26177E-4,3,0,0,482.0
1070,38,6700,3,0.9999999,0.110878973,3,0,0,934.0
1078,63,NA,0,0.148225606,1313.0,11,0,2,1075.0
1081,60,10500,0,0.211367652,0.24045329,19,0,2,1506.0
1085,41,4000,2,7.3798E-4,0.493126718,4,0,1,-3543.0
1097,61,NA,0,0.040423812,28.0,6,0,0,874.0
1098,67,5200,2,0.223677632,0.326283407,4,0,1,2308.0
1099,32,4084,0,0.077246781,0.368421053,7,0,1,1145.0
1104,52,12850,3,0.011073664,0.012372578,4,0,0,297.0
1113,64,5468,0,0.009917446,0.447430975,12,0,2,560.0
1129,36,6573,0,0.428382755,0.2706115,12,0,1,2098.0
1136,76,3790,0,0.010751197,0.117910841,17,0,0,1740.0
1137,47,3308,3,0.901795412,0.52674524,6,0,1,3392.0
1139,46,5500,2,0.001759965,0.214688239,5,0,1,1939.0
1150,55,5728,0,0.28910532,0.939430965,17,0,3,1569.0
1158,23,2557,0,0.17988008,0.003127443,2,0,0,1570.0
1160,54,4850,1,0.941447055,1.843949701,15,0,4,430.0
1161,58,6999,1,0.023237542,0.812428571,19,0,3,836.0
1163,29,2500,0,0.506995336,0.5029988,6,0,1,1054.0
1164,59,11000,0,0.120355791,0.151986183,10,0,2,7047.0
1168,45,NA,0,0.902797114,2788.0,8,2,1,-2225.0
1169,44,5004,3,0.099482078,0.431368631,7,0,1,399.0
1178,68,NA,0,0.012951764,1968.0,5,0,1,1160.0
1179,58,8900,3,0.186223251,0.251769464,11,0,1,1625.0
1180,31,NA,0,0.219540157,220.0,4,0,0,2266.0
1186,63,6848,0,0.075662361,0.315812527,7,0,2,625.0
1189,58,8494,3,0.099272518,0.034020012,3,0,0,504.0
1195,65,NA,NA,0.081312065,315.0,6,0,0,2128.0
1203,62,9017,0,0.375897212,0.29563096,21,0,1,1084.0
1204,68,1351,0,0.9999999,0.196745562,3,0,0,3007.0
1209,41,4790,0,0.076703026,0.388436652,14,0,2,1732.0
1210,77,6600,0,0.227820379,0.554915922,24,0,2,4355.0
1212,68,3700,1,0.019391297,0.064577141,9,0,0,1979.0
1222,88,NA,NA,0.006556256,6.0,7,0,0,1320.0
1223,28,5650,0,0.062081558,0.012387188,6,0,0,543.0
1240,54,7433,2,0.040253329,0.401668012,12,0,1,525.0
1241,53,4000,1,0.443626281,0.253686578,6,0,0,2151.0
1244,60,7578,0,0.007749806,0.220213749,8,0,1,496.0
1254,63,1805,0,0.037273952,0.953488372,8,0,1,1522.0
1255,78,5732,0,0.141762552,0.028257457,5,0,0,852.0
1257,30,NA,NA,0.082238982,2065.0,7,0,2,160.0
1262,31,NA,0,0.293687348,1268.0,13,0,0,747.0
1269,63,5750,0,0.015200908,0.007998609,3,0,0,2268.0
1282,82,NA,NA,0.9999999,278.0,0,0,0,912.0
1284,41,3000,0,0.9999999,0.007664112,0,0,0,614.0
1288,31,4551,0,0.119775556,0.041959578,3,1,0,810.0
1291,80,8461,0,0.065464485,0.006854172,1,0,0,1893.0
1299,44,NA,4,0.796278584,2518.0,6,5,1,3544.0
1300,30,5625,1,0.9999999,0.015108425,2,0,0,-523.0
1305,41,5500,2,0.330939503,0.316851482,6,0,1,502.0
1312,42,4500,2,0.983078225,0.884470118,17,0,2,-4852.0
1314,59,1850,0,0.972150876,1.473797947,12,0,2,-1634.0
1318,59,4405,0,0.575314156,0.653881071,6,0,1,981.0
1319,27,2250,0,0.086460416,1.055530875,7,0,2,1906.0
1323,59,NA,0,0.122020904,153.0,9,0,0,2606.0
1324,77,2531,0,0.288425263,0.533965245,8,0,1,527.0
1328,82,NA,0,0.007161678,3.0,7,0,0,5341.0
1333,41,7416,1,0.160060865,0.370769853,8,1,1,4327.0
1335,73,8300,0,0.032008214,0.226599205,11,0,2,1366.0
1337,38,4272,0,0.322649069,0.267259537,5,0,2,710.0
1342,68,NA,0,0.173948934,3015.0,7,0,2,4203.0
1345,32,1750,2,0.087406258,0.288977727,8,0,0,966.0
1347,49,4000,1,0.04569372,0.300174956,14,0,1,1215.0
1349,56,8362,2,0.036934189,0.287934952,8,0,1,1415.0
1351,47,11166,2,0.832104651,0.754365541,18,0,3,1013.0
1352,27,6400,0,0.644710579,0.087017653,7,0,0,749.0
1360,44,11716,1,0.525349959,0.265853034,8,0,2,1136.0
1363,72,NA,1,0.099145861,2430.0,23,0,2,555.0
1365,52,6121,0,0.161644287,0.134433192,8,0,0,1505.0
1387,61,6400,0,0.979195663,0.320731136,7,0,1,1399.0
1393,70,NA,0,0.238235664,1252.0,11,0,1,1690.0
1394,67,12753,1,0.006489024,0.099890231,5,0,1,1128.0
1401,38,5800,2,0.82644118,0.6536804,9,0,1,-2594.0
1403,37,10543,0,0.654211301,0.26991654,10,0,3,1262.0
1411,84,4000,0,0.103318532,0.278180455,12,0,0,690.0
1415,41,3900,1,0.028907777,0.768520892,6,0,2,3867.0
1418,66,3200,0,0.004171309,0.304592315,8,0,1,3478.0
1425,64,3800,0,0.008288705,0.002893975,2,0,0,7215.0
1426,60,3118,0,1.089825848,0.63353639,7,0,1,317.0
1434,48,3903,0,0.68346203,0.129354508,4,0,0,969.0
1436,65,NA,1,0.055606878,2965.0,5,0,1,589.0
1449,51,6250,3,0.2670805,0.841945289,25,0,3,1321.0
1451,45,13586,3,0.363993614,0.248252006,6,0,2,299.0
1458,35,3800,0,0.673189544,0.424098921,5,0,1,1418.0
1465,54,14166,3,0.702381432,0.866732547,21,0,6,-1964.0
1472,64,4000,0,0.96673631,0.419895026,8,0,2,731.0
1473,41,10895,1,0.685583993,0.450440529,13,0,5,395.0
1474,48,5000,0,0.019999721,0.090381924,11,0,1,1687.0
1482,53,3330,0,0.555938038,0.451816271,10,0,0,7833.0
1493,51,4492,2,0.198454901,0.246160694,7,0,1,1528.0
1503,69,5833,0,0.014370016,0.432807679,9,0,1,2126.0
1510,63,5000,1,0.054783369,0.099980004,15,0,0,426.0
1511,46,7041,0,0.041735628,0.036921329,22,0,0,1001.0
1521,45,3280,4,0.351892829,0.563852484,18,0,3,955.0
1524,74,3800,0,0.072494634,0.523546435,9,0,2,608.0
1529,80,1332,0,0.029570959,0.048762191,13,0,0,856.0
1532,28,4800,3,0.9999999,0.154551135,4,0,0,818.0
1536,27,4200,0,0.436410214,0.133777672,5,0,0,1367.0
1538,59,61000,1,0.510293034,0.31697841,13,0,2,1017.0
1540,65,2193,0,0.070741157,0.146763902,5,0,0,850.0
1541,63,NA,0,0.056334303,4542.0,12,0,3,522.0
1566,68,NA,NA,0.019376663,1277.0,12,0,1,1369.0
1575,54,6383,1,0.952798882,0.558740602,10,0,1,1973.0
1579,64,7500,0,0.017050203,0.583655513,19,0,4,741.0
1583,43,5300,1,0.034247393,0.159026599,10,0,1,1308.0
1594,44,4000,0,0.336222047,0.234941265,14,0,0,682.0
1602,51,8000,0,0.205274463,0.361329834,10,0,1,1245.0
1614,85,NA,0,0.147242638,88.0,3,0,0,755.0
1617,65,NA,0,0.286009847,3622.0,5,0,1,1283.0
1618,50,23033,0,0.267368644,0.420291743,46,0,6,318.0
1623,56,8583,0,0.299417878,0.65971575,11,0,2,547.0
1626,39,4200,2,0.004505221,0.435848607,6,0,2,769.0
1628,56,4200,2,0.021547106,0.318019519,12,0,2,446.0
1633,39,17860,0,0.498488961,0.286938021,13,0,1,1008.0
1634,56,NA,3,0.095340549,2779.0,14,0,3,1462.0
1648,28,NA,NA,0.175604436,28.0,2,0,0,771.0
1656,52,10000,3,0.024378631,0.150484952,4,0,1,1059.0
1663,50,NA,0,0.9999999,1305.0,2,0,1,-1707.0
1667,47,1500,0,1.708044916,1.862758161,6,0,1,1029.0
1669,32,2575,0,0.456585044,0.630046584,9,0,2,616.0
1671,30,3000,0,0.558873832,0.214595135,9,0,0,1202.0
1674,32,2500,0,0.102222373,0.716513395,6,0,1,716.0
1680,39,25000,3,0.496968813,0.15199392,11,0,2,623.0
1698,66,10800,1,0.328573722,0.293398759,17,0,2,325.0
1700,45,3500,1,0.24664436,0.10996858,5,0,0,328.0
1708,66,2000,0,1.006955514,0.214392804,3,0,0,564.0
1716,67,1716,0,0.039016915,0.499126383,5,0,0,276.0
1727,57,NA,0,0.982403519,2357.0,8,0,1,2124.0
1732,21,NA,0,0.369472183,7.0,1,0,0,214.0
1737,46,2000,0,0.213785748,0.367816092,5,0,1,1975.0
1738,59,NA,0,0.339794165,3115.0,19,0,1,1647.0
1741,31,5893,1,0.044177962,0.33847981,9,0,1,319.0
1746,63,11000,0,0.9999999,0.194618671,7,0,2,1551.0
1752,72,7667,0,0.022417562,0.001825769,2,0,0,404.0
1755,35,2400,1,0.514708735,0.91878384,18,0,1,509.0
1758,70,6000,0,0.029431333,0.578070322,12,0,3,1322.0
1759,38,5166,1,0.017832739,0.003870718,4,0,0,1191.0
1765,36,NA,0,0.212426252,2743.0,8,0,1,508.0
1772,56,55000,1,0.705197204,0.262722496,16,0,6,579.0
1782,63,NA,1,0.059627208,639.0,6,0,0,3191.0
1786,42,5600,1,0.005660923,0.001606856,1,0,0,734.0
1790,70,NA,0,0.9999999,520.0,3,0,1,-5329.0
1797,47,3750,1,0.978808477,0.428419088,5,4,0,-2516.0
1799,30,3300,0,0.959005856,0.213268706,5,0,0,657.0
1802,53,NA,NA,6.42385E-4,1959.0,6,0,1,209.0
1803,46,6500,2,0.407186096,0.512998,14,0,3,256.0
1806,70,2452,0,0.02365588,0.01793722,7,0,0,4142.0
1816,41,4166,1,0.064372318,1.083273338,7,0,1,781.0
1824,76,3501,0,0.013626303,0.09737293,10,0,0,872.0
1825,68,NA,0,0.205385796,1694.0,11,0,1,1048.0
1827,64,2836,2,0.9999999,0.967923863,6,0,1,-1314.0
1828,37,3740,1,0.167835331,0.716118685,20,0,2,619.0
1837,42,5000,2,0.9999999,0.082983403,1,1,0,1386.0
1839,43,6880,1,0.924601885,0.367097806,4,0,0,-1438.0
1842,80,NA,0,0.01783591,1062.0,13,0,2,1332.0
1845,36,5000,2,0.101810554,0.816436713,6,0,2,843.0
1850,57,7000,1,0.203916305,0.346379089,8,0,1,1800.0
1854,60,NA,0,0.263407239,2300.0,21,0,1,519.0
1856,47,10000,5,0.180280146,0.02849715,4,0,0,368.0
1865,35,3950,2,0.655344655,0.294355859,6,0,0,2904.0
1867,49,6600,0,1.000782541,0.642629905,9,0,1,-4820.0
1872,46,NA,0,0.9999999,117.0,2,0,0,-611.0
1876,49,10500,0,0.026048127,0.322921627,24,0,3,773.0
1877,47,7813,1,0.508254824,0.58369593,9,0,1,1356.0
1878,41,5147,1,0.9999999,0.492424242,5,1,1,-946.0
1880,67,4705,0,0.014083737,0.129409265,7,0,1,4229.0
1887,28,2380,0,0.03167801,0.114237715,7,0,0,2816.0
1890,32,8333,4,0.281677722,0.400887929,7,0,1,1087.0
1892,71,NA,0,0.358290304,1342.0,4,0,1,744.0
1894,27,2750,0,0.006631879,0.186841149,6,0,0,1912.0
1911,61,8483,0,0.151567098,0.52310231,3,0,1,3254.0
1916,85,5347,0,0.672442519,0.020381451,7,1,0,861.0
1920,38,5666,1,0.288158053,0.494088583,5,0,2,1154.0
1924,44,NA,3,0.076419464,4200.0,23,0,3,846.0
1926,49,2500,0,0.00857712,0.142343063,10,0,0,474.0
1933,35,9000,0,0.223677632,0.375291634,7,0,1,719.0
1935,27,NA,NA,0.242501363,40.0,1,0,0,689.0
1938,24,1100,0,0.10189678,0.017257039,7,0,0,391.0
1953,39,4666,1,0.087409383,0.389115063,6,0,2,586.0
1954,37,NA,0,0.291790743,4729.0,6,0,2,1608.0
1963,56,2250,0,0.537109258,1.065304309,3,0,1,1689.0
1970,73,NA,0,0.047647618,639.0,5,0,1,2956.0
1971,50,6000,0,0.159244895,0.410598234,5,0,1,1594.0
1975,65,NA,0,0.152989801,704.0,4,0,1,1575.0
1980,23,2500,0,0.909494725,0.149140344,8,0,0,-4415.0
1981,83,4178,0,0.016422761,0.005982292,8,0,0,300.0
1994,68,NA,0,0.037579433,1934.0,6,0,1,1344.0
1995,60,NA,0,0.003573653,2.0,5,0,0,2817.0
2001,54,5200,0,0.011946215,0.003653144,5,0,0,656.0
2007,86,5313,0,0.047813534,0.003763643,4,0,0,1893.0
2009,58,NA,0,0.447986,1408.0,5,0,1,1185.0
2014,39,NA,0,0.457507411,1003.0,5,0,0,1030.0
2016,42,3750,0,0.159873773,0.413489736,9,0,1,894.0
2017,90,3000,0,0.062146416,1.41586138,18,0,1,987.0
2020,62,5003,0,0.093598023,0.226219025,14,0,1,771.0
2022,51,3500,1,0.314304201,0.440159954,13,0,0,634.0
2024,56,1614,0,0.240375962,0.678018576,3,0,2,2278.0
2028,58,NA,0,0.264172212,4068.0,6,0,1,4407.0
2030,64,2100,0,0.016845408,0.04854831,6,0,0,652.0
2031,46,5550,1,0.571987146,0.187713925,9,0,0,2141.0
2036,34,6800,0,0.177730469,0.156888693,8,0,0,379.0
2041,88,NA,NA,0.021748641,10.0,3,0,0,1509.0
2044,54,10500,0,8.08265E-4,0.255594705,19,0,1,848.0
2045,51,16000,2,0.162063966,0.400099994,12,0,2,545.0
2050,60,14593,3,0.036812806,0.257091956,9,0,1,1273.0
2053,45,13500,3,0.127202141,0.298644545,7,0,2,405.0
2054,75,3000,0,0.007363246,0.002999,5,0,0,814.0
2058,41,8692,4,0.659890841,0.374094099,11,0,2,2630.0
2071,36,5700,0,0.343209383,0.408700228,11,0,1,2690.0
2083,58,NA,NA,0.056024823,1598.0,5,1,2,-4673.0
2084,34,3366,0,0.132159324,0.524502525,6,0,2,1863.0
2088,50,NA,0,0.9999999,2701.0,1,0,1,1523.0
2090,70,41666,1,0.20223306,0.657354741,22,0,5,1184.0
2093,35,9500,1,0.042312909,0.418166509,8,0,2,5948.0
2104,63,8400,0,1.016598893,0.071896203,3,1,0,1316.0
2106,54,4500,0,0.718693752,0.626305265,11,0,1,-4190.0
2115,51,2147,1,0.58896167,1.424581006,11,0,2,773.0
2120,23,NA,1,0.988892054,245.0,6,0,0,1447.0
2123,37,4200,0,0.671517276,0.387526779,12,0,0,842.0
2125,59,NA,0,0.719133902,1787.0,11,0,1,328.0
