ID;CNT_TBM;CNT_ATM;CNT_POS;CNT_CSC
2940910;45;3;2;1
2949926;28;17;10;5
2956559;61;4;2;5
2969496;117;53;77;8
2979761;87;6;2;13
2983586;98;42;2;3
3006203;86;13;2;1
3007114;47;5;25;1
3018775;19;9;2;3
3034106;81;5;41;29
3048431;100;15;2;1
3068317;63;15;2;7
3078118;86;20;5;3
3083980;22;9;12;3
3085966;30;3;2;1
3091112;10;23;2;1
3092038;106;3;2;13
3100050;146;19;8;4
3107769;53;3;2;1
3110787;95;16;33;4
3114345;30;3;2;14
3119357;13;47;3;1
3158393;21;3;2;1
3163044;42;3;2;1
3172649;75;19;13;1
3184140;165;74;5;9
3197042;33;13;9;7
3204130;147;53;35;2
3204378;40;21;20;1
3219205;70;3;2;15
3219926;32;24;13;20
3230329;175;37;62;3
3230961;45;9;20;16
3231102;15;3;2;1
3236646;22;4;4;3
3237259;69;3;32;2
3248214;195;27;3;1
3254556;63;10;2;2
3255426;22;3;2;3
3280310;51;55;35;167
3282981;116;3;2;1
3293431;14;3;2;2
3296586;121;15;39;18
3300085;225;3;2;1
3321043;26;3;2;1
3325447;28;72;7;9
3332642;24;31;15;1
3332702;35;10;2;3
3339091;23;3;2;1
3365257;55;20;3;8
3366718;105;14;7;1
3372355;79;6;2;1
3376732;111;3;2;49
3386514;68;20;60;14
3403371;13;57;4;2
3419466;18;34;2;1
3435507;70;50;2;3
3443114;11;3;2;1
3444328;65;27;3;2
3445676;31;3;2;7
3454944;92;84;31;13
3490950;69;56;29;4
3493676;27;19;2;1
3497175;10;24;2;1
3503705;20;16;2;3
3509924;72;8;12;11
3511040;12;3;2;1
3520200;100;40;2;1
3524070;11;3;2;1
3529615;22;3;2;1
3548384;38;8;2;5
3549678;24;10;2;12
3558902;65;13;24;4
3562471;69;3;2;6
3610605;24;35;4;14
3614767;16;6;2;2
3636249;36;22;13;4
3637841;21;21;6;1
3647503;168;3;2;1
3652869;241;67;178;16
3652961;93;48;20;3
3673625;86;3;2;1
3676430;94;3;2;1
3681058;16;3;2;1
3681943;153;32;20;1
3686296;37;27;2;1
3697329;78;44;8;6
3698020;45;67;60;7
3703187;121;10;2;1
3704582;67;42;79;52
3706725;17;3;2;6
3713250;26;16;2;1
3715341;14;3;2;1
3723302;19;3;2;1
3730657;62;40;2;11
3733019;33;17;4;7
3733044;12;3;2;1
3736834;320;3;2;5
3739674;11;3;2;1
3746299;10;3;2;2
3760680;14;3;2;1
3761949;40;21;2;1
3764385;41;3;2;1
3769076;16;3;2;1
3770761;20;4;2;1
3775537;39;20;4;1
3791045;161;41;26;1
3805801;53;3;2;3
3814263;16;3;2;1
3823666;13;5;2;1
3826997;57;14;2;3
3845881;70;9;7;9
3860067;87;32;9;3
3877826;87;3;2;14
3901981;12;14;2;1
3904411;62;18;136;1
3918802;40;57;2;2
3923715;54;3;2;1
3938809;35;32;6;1
3940482;46;11;32;1
3944533;53;29;40;12
3944823;52;45;23;1
3961002;12;3;2;1
3962709;48;6;2;3
3981811;92;3;2;1
3988127;229;4;16;2
3990329;56;9;13;7
4006604;55;3;2;2
4008610;19;3;2;3
4037483;11;10;15;1
4039095;35;3;2;16
4050587;11;3;2;1
4055805;44;3;12;4
4067464;20;10;4;5
4085582;15;12;2;1
4099855;14;6;2;3
4116239;121;24;39;4
4124685;106;22;130;13
4137674;21;3;2;1
4140371;92;21;15;3
4141067;33;3;2;1
4143444;239;20;62;58
4145526;25;32;6;3
4160887;22;18;41;1
4161045;36;39;36;1
4161639;157;56;159;41
4163245;13;3;2;6
4164984;47;19;41;25
4170019;20;3;2;4
4170691;76;15;2;13
4174839;166;3;2;1
4210383;136;44;3;8
4212879;82;24;4;4
4212883;15;17;3;10
4216286;88;21;2;1
4217946;74;5;6;1
4220963;56;24;2;9
4221948;40;3;2;1
4247149;11;5;2;1
4252609;172;13;2;12
4262249;145;29;16;3
4263851;54;36;20;1
4274249;50;3;2;3
4279436;37;25;10;25
4297758;19;10;2;1
4315992;15;3;2;1
4316865;11;3;2;1
4324827;85;13;2;18
4332174;92;3;2;6
4335756;183;50;9;1
4354438;46;3;2;7
4358514;88;41;18;77
4362065;18;24;5;61
4363682;48;5;2;1
4370040;85;3;2;18
4371284;11;3;2;1
4372477;11;3;2;1
4379405;57;47;11;1
4380529;62;19;2;6
4385632;20;12;19;1
4385908;33;20;5;1
4405743;12;3;2;1
4408788;75;44;2;11
4411880;14;4;2;1
4424349;64;19;2;36
4447833;58;21;2;1
4450166;72;12;2;4
4454398;14;18;7;7
4469820;76;3;2;1
4470172;23;33;2;1
4473280;93;3;2;6
4479857;65;48;11;4
4480103;58;16;2;19
4515312;40;30;3;8
4523775;78;34;2;2
4527828;92;3;2;1
4547186;76;53;4;1
4548575;75;32;9;1
4560042;126;58;27;4
4574039;42;28;7;1
4582500;185;60;19;5
4582954;64;28;5;30
4590727;24;14;7;19
4593890;126;3;2;2
4612708;40;13;2;7
4613187;42;29;30;9
4618929;39;75;2;2
4631551;27;54;38;13
4647944;99;10;3;2
4650193;59;33;19;1
4655091;74;15;2;5
4686142;13;3;2;1
4691929;21;15;6;1
4699769;11;3;2;1
4700420;48;5;2;5
4709553;194;3;2;5
4714663;40;25;2;1
4724799;45;39;31;74
4750267;85;11;2;3
4754068;139;3;2;3
4770779;19;3;2;1
4776028;55;3;2;1
4780128;77;14;49;4
4790485;221;117;52;1
4813425;22;3;2;2
4816502;70;27;10;15
4823061;82;3;2;1
4824521;64;33;20;17
4825648;14;11;2;1
4834253;126;3;2;19
4843711;15;11;2;1
4845004;56;30;69;1
4850663;11;6;2;1
4854162;85;37;28;1
4859205;24;22;30;11
4859949;32;61;2;5
4862517;25;8;2;4
4870052;18;15;3;1
4874678;76;3;2;1
4900023;112;20;14;4
4906965;17;3;2;1
4927896;51;4;2;3
4943660;16;3;2;3
4945870;39;4;2;51
4946958;15;29;2;1
4950969;58;4;65;4
4954659;66;34;21;15
4957353;119;51;2;24
4976283;67;30;17;19
4999541;37;34;21;10
5004198;20;3;2;1
5020680;123;32;2;10
5021794;135;39;3;7
5024256;117;12;94;1
5026220;98;18;75;1
5030519;97;3;2;2
5032307;10;6;2;1
5034859;102;9;32;7
5055272;144;3;2;2
5065897;11;3;2;1
5068087;206;5;5;4
5070515;89;47;2;1
5074472;50;59;14;26
5080204;64;54;3;1
5091524;48;23;19;3
5093894;24;3;2;3
5124690;90;3;2;1
5129404;123;13;2;2
5152831;13;7;2;1
5158931;87;20;28;2
5169272;159;3;2;1
5170054;85;12;3;4
5175664;91;3;2;8
5182376;10;6;2;1
5185167;99;14;2;10
5186546;24;3;2;5
5216982;36;44;2;10
5226604;61;15;3;6
5228616;10;3;2;3
5230017;23;13;2;1
5231104;75;65;8;12
5235797;116;15;2;2
5240049;12;3;2;3
5246730;18;17;2;1
5248795;20;60;2;1
5276388;30;29;17;1
5288944;15;3;2;1
5301980;20;9;2;1
5311968;20;3;2;2
5316484;14;13;2;1
5327806;11;9;2;1
5342521;109;21;99;1
5350616;23;40;2;1
5352574;101;7;2;1
5353116;68;3;2;1
5356122;168;3;2;9
5361366;55;3;2;1
5364731;12;6;2;1
5367144;10;7;2;1
5383633;14;39;2;2
5401753;53;8;2;1
5403921;49;32;38;3
5407900;80;15;2;6
5408543;11;3;2;1
5420820;28;15;3;1
5429501;21;3;2;1
5431767;74;3;2;1
5434155;58;11;2;4
5449796;71;5;31;3
5463882;38;3;2;1
5468334;14;14;2;1
5471074;28;3;2;1
5512484;12;3;2;1
5538315;57;29;14;25
5545798;10;5;2;1
5574319;40;38;25;11
5587535;35;44;63;19
5589358;118;27;2;35
5595127;37;11;2;2
5596776;23;83;2;2
5614068;10;27;2;1
5636245;151;5;2;2
5645546;140;28;2;1
5655974;98;3;2;1
5667886;312;7;2;31
5674387;43;3;2;1
5694082;61;18;57;40
5715024;67;6;13;12
5715982;14;3;2;4
5719245;11;3;2;1
5722959;14;4;2;2
5733390;73;4;2;5
5743574;34;3;2;1
5743680;46;17;2;1
5768343;45;51;13;7
5781981;169;13;51;10
5787637;14;5;2;1
5797901;20;11;2;1
5821116;29;14;2;1
5838950;10;3;2;9
5879207;130;11;26;11
5891509;92;3;2;1
5891798;168;11;2;5
5897615;40;44;10;15
5898819;17;6;2;1
5904781;48;3;2;1
5921933;158;8;2;15
5929366;145;18;11;20
5936225;33;22;2;2
5938792;60;3;2;1
5947139;109;34;2;9
5959999;19;3;2;6
5960310;14;3;2;1
5962547;173;45;33;5
5963289;12;3;2;3
5988584;127;63;68;51
5996230;14;7;2;5
6005129;44;11;23;2
6027462;137;16;40;10
6028466;13;3;2;1
6053411;15;3;2;1
6066463;76;3;2;2
6088443;90;34;97;22
6095023;95;3;2;26
6100366;49;61;5;1
6101146;94;7;2;15
6106396;16;3;2;2
6123151;81;50;39;11
6126487;109;3;2;1
6134783;28;27;5;7
6134834;92;3;2;1
6147352;25;3;2;8
6148334;96;16;13;1
6173192;39;26;33;8
6173817;67;26;2;1
6183510;16;3;2;1
6190226;114;3;2;1
6199884;158;9;65;2
6218314;74;7;2;1
6221087;49;18;3;2
6221915;91;13;47;40
6228684;48;9;2;3
6229044;65;52;57;9
6232238;20;28;2;4
6246082;27;6;2;6
6259914;50;18;12;1
6265388;13;3;2;3
6269892;10;22;2;1
6275875;13;12;2;8
6281037;75;26;4;1
6305036;23;19;4;1
6321999;51;3;2;5
6337996;33;6;2;1
6340164;62;79;3;2
6344404;20;3;2;1
6346173;20;88;3;3
6352345;98;50;10;65
6354617;94;64;3;19
6364895;12;3;2;1
6373229;67;62;18;21
6374960;10;5;2;4
6383760;14;3;2;1
6383764;92;3;2;1
6390442;70;3;2;11
6398052;85;8;2;2
6403461;32;3;2;1
6410290;209;5;73;3
6431994;93;35;52;9
6438306;45;3;2;1
6438667;101;8;18;4
6459162;18;46;2;1
6460103;87;4;3;4
6463170;71;3;26;2
6475662;42;21;63;1
6478944;33;3;2;1
6493738;64;28;27;11
6502096;31;18;2;6
6503980;16;3;2;1
6512107;45;4;2;8
6518878;73;8;9;3
6534580;32;3;2;2
6545851;49;3;2;1
6556738;13;3;2;1
6570701;342;3;2;11
6590792;27;3;2;1
6617637;54;80;26;11
6618876;36;6;2;5
6621006;58;3;2;2
6631179;17;9;7;1
6634044;67;40;9;18
6649083;25;42;2;9
6651015;122;3;2;1
6663310;27;3;2;1
6664932;26;3;2;1
6670408;53;17;32;1
6684287;16;3;2;1
6696584;156;46;2;40
6699456;27;3;2;3
6706133;14;17;5;1
6719604;43;16;59;28
6721301;129;7;2;5
6730610;86;3;2;1
6766196;30;3;2;1
6771829;10;42;11;1
6772934;136;19;49;2
6782232;87;3;2;1
6794044;27;3;2;1
6813931;38;7;2;4
6818724;11;3;2;1
6820319;48;33;36;12
6827523;155;3;2;6
6829794;97;3;2;6
6847104;83;6;19;1
6851012;51;3;2;1
6856487;72;32;15;5
6877624;34;40;2;1
6881969;39;27;3;6
6882571;23;3;2;2
6885806;10;10;2;2
6891696;77;6;4;9
6892180;64;18;9;14
6933198;22;11;2;9
6969621;99;6;2;1
6978906;79;13;4;1
6986636;41;42;2;2
7004737;110;13;79;5
7005599;17;3;2;1
7030482;121;22;99;2
7034417;41;41;49;1
7034794;18;3;2;1
7048498;58;42;5;6
7058270;38;3;2;4
7065182;23;27;19;23
7065770;99;17;2;1
7069081;74;26;68;2
7070072;87;3;2;1
7080415;23;3;23;4
7087031;11;6;2;1
7093989;152;66;6;7
7103845;193;17;2;8
7104586;73;3;4;1
7115287;58;3;2;10
7115651;29;3;5;10
7119926;12;14;2;1
7123554;42;51;12;2
7144697;427;3;2;3
7154773;88;24;3;1
7155167;643;3;2;79
7172443;30;22;3;7
7182917;100;3;2;3
7186759;49;19;21;2
7187918;28;3;2;1
7188621;62;22;13;3
7195775;161;3;2;1
7210140;75;32;23;11
7221235;85;22;30;10
7224231;10;5;2;1
7231409;102;22;22;1
7235558;11;3;2;1
7239570;14;3;2;1
7242727;50;87;2;25
7242878;44;8;24;2
7264898;70;18;74;1
7266002;87;3;2;1
7273827;71;16;48;1
7279774;75;31;2;3
7280982;24;9;2;1
7290296;113;40;2;1
7304866;111;15;42;5
7307561;58;4;2;2
7308758;48;21;2;2
7324007;39;33;41;1
7330675;29;9;24;4
7346679;10;4;2;1
7379222;73;22;2;1
7388564;80;3;2;4
7395571;17;37;2;1
7399103;175;30;19;8
7402273;23;10;8;11
7416272;87;9;57;12
7416531;59;3;2;15
7424109;11;3;2;4
7428848;41;8;5;3
7438406;61;6;6;14
7452129;146;10;2;1
7452409;49;3;2;15
7457277;156;35;19;9
7465736;73;26;2;11
7476155;19;34;12;6
7477917;63;3;2;15
7479601;212;3;2;11
7480269;194;4;35;6
7483083;88;23;61;23
7491834;154;21;18;1
7498788;93;3;2;1
7509526;60;36;26;30
7541689;127;16;2;9
7550360;24;45;14;1
7556686;68;5;2;1
7560277;81;20;34;14
7575850;59;3;2;1
7580976;14;3;2;1
7586100;46;39;21;4
7611633;79;5;2;2
7634208;25;24;6;1
7635396;47;68;32;26
7638889;17;14;2;18
7657640;55;63;14;47
7663830;31;16;10;1
7681060;134;17;2;5
7689318;109;78;46;6
7690868;16;22;14;1
7694791;15;3;2;6
7695234;150;16;137;28
7708908;10;26;2;1
7724595;53;3;2;9
7729185;125;37;91;1
7756882;55;11;7;2
7757891;77;23;26;1
7759078;11;3;2;1
7759422;49;48;12;58
7759552;91;29;14;11
7760977;48;3;49;18
7761004;66;10;2;2
7794711;31;26;2;22
7807689;32;30;2;1
7811192;43;31;2;10
7816193;41;46;45;2
7820689;16;18;2;1
7826559;11;6;6;2
7835547;76;3;2;1
7844415;60;69;30;34
7857307;127;35;18;10
7862905;111;40;3;1
7890757;110;34;7;1
7897148;14;3;2;3
7907767;10;3;2;2
7908447;40;10;2;9
7910200;80;3;2;2
7918256;49;22;32;11
7919698;96;26;18;16
7944786;50;33;29;2
7953271;231;14;3;7
7963789;48;66;48;13
7994079;172;14;5;3
8008082;14;3;2;1
8026799;12;16;2;1
8039613;59;10;18;8
8043273;14;3;2;1
8050024;38;8;4;14
8064237;167;16;26;15
8073519;10;3;2;3
8118392;32;75;2;2
8137415;228;3;2;3
8141472;25;3;2;6
8153534;93;3;2;2
8164316;92;6;16;1
8167863;130;31;57;17
8173977;32;3;2;1
8183982;31;57;14;1
8192851;26;18;2;3
8198209;81;59;7;4
8209540;22;27;3;1
8215033;10;22;2;2
8227150;63;3;2;1
8245031;161;22;18;4
8246886;22;17;10;1
8253932;10;5;2;5
8254894;19;3;2;1
8257435;64;19;26;5
8272368;17;15;2;1
8282820;106;19;21;9
8289507;21;18;2;1
8295548;55;8;2;2
8303507;12;3;2;2
8305532;15;7;2;1
8306146;40;19;6;14
8310189;111;18;66;16
8312264;21;26;14;1
8322088;20;10;8;8
8348377;52;23;2;5
8364014;22;16;2;1
8367987;61;72;11;2
8370909;17;15;2;1
8385164;92;3;2;1
8401887;53;7;2;3
8405924;199;12;22;1
8410472;10;9;2;1
8420320;14;25;8;13
8424745;91;3;2;1
8425580;10;3;2;5
8438917;47;22;2;1
8441940;11;3;2;1
8449363;39;30;72;103
8453047;91;3;2;1
8454318;16;5;2;8
8455051;438;3;2;14
8458364;101;3;2;1
8463589;80;13;22;3
8472149;135;3;2;1
8482352;194;5;2;1
8492312;13;11;2;2
8496831;90;3;2;1
8504011;143;35;62;20
8536262;85;6;5;7
8538856;44;3;3;1
8539614;75;3;2;1
8550962;19;9;3;5
8555152;64;3;2;1
8558875;53;6;4;2
8559796;140;22;20;14
8575315;30;21;6;5
8578369;222;8;3;1
8600924;11;3;2;1
8604621;201;7;2;20
8608115;94;9;74;29
8617930;15;3;2;1
8631462;88;9;6;1
8639110;145;3;2;2
8639606;18;7;2;8
8645509;75;23;155;18
8657894;17;3;2;1
8664217;56;73;3;1
8689676;133;40;2;1
8704979;12;4;2;1
8728944;27;56;7;3
8742169;153;3;2;2
8748134;47;57;5;2
8758138;56;4;2;5
8770274;31;3;2;1
8772850;88;21;20;14
8778223;83;35;2;2
8783235;130;33;3;21
8791851;59;9;40;13
8800843;59;25;31;3
8803556;49;27;16;21
8806327;67;3;2;1
8814459;150;39;2;1
8818024;33;14;34;1
8821206;52;29;25;1
8822161;80;25;2;1
8839132;14;3;2;1
8840705;78;52;17;18
8847866;30;30;2;4
8853248;121;6;2;8
8895425;87;13;2;1
8901610;123;27;13;8
8902283;44;3;2;6
8910108;27;15;6;5
8915310;103;3;2;2
8921514;48;27;16;29
8934699;18;3;2;2
8940170;123;73;45;2
8968500;17;6;2;1
8992829;65;22;17;63
8996356;21;3;2;1
9008446;59;60;3;3
9024725;32;56;21;1
9025421;109;90;22;11
9041487;13;5;5;1
9047898;17;49;2;1
9070344;58;12;2;13
9071247;69;29;2;4
9076057;24;3;2;1
9081200;233;3;2;1
9092790;13;6;35;7
9100982;579;3;2;25
9117587;13;3;2;1
9121714;37;32;3;1
9124112;458;3;2;7
9126545;58;40;7;25
9142606;10;3;2;2
9155557;77;34;3;9
9155594;15;9;10;1
9169882;124;47;2;42
9174942;24;10;2;1
9183772;15;3;2;1
9187006;21;4;3;1
9187986;47;3;2;1
9193113;142;68;2;15
9204490;125;18;113;36
9214434;43;20;38;2
9231616;14;3;2;2
9235568;10;3;2;2
9251866;21;13;5;4
9264372;139;32;2;5
9267383;53;19;53;2
9268581;28;38;24;1
9275671;118;15;29;1
9291585;58;3;2;1
9311638;36;5;2;12
9335398;31;3;2;4
9337857;62;33;40;23
9345625;13;5;2;1
9348455;12;3;2;1
9354211;31;22;2;2
9363321;12;5;2;1
9389912;10;12;2;1
9391879;56;57;2;6
9409898;115;22;15;1
9413540;21;14;2;1
9425306;54;31;21;19
9440472;10;4;2;1
9450066;166;33;197;3
9467292;224;3;2;1
9472143;29;30;38;1
9497041;128;37;23;10
9503029;179;14;84;9
9505342;183;35;2;4
9506764;62;21;49;18
9512437;133;61;12;3
9527476;11;3;2;1
9529959;148;29;2;5
9545675;116;3;2;1
9547827;248;3;2;1
9562829;22;10;2;2
9564794;51;18;3;29
9570638;25;60;2;1
9576892;10;7;2;1
9579513;46;28;6;9
9592579;37;20;2;1
9603521;53;12;7;4
9625332;36;3;2;2
9629973;336;19;15;7
9634811;36;22;3;4
9650908;29;40;10;5
9656895;165;3;2;4
9661773;12;6;2;1
9667330;126;3;2;25
9667588;30;3;2;1
9669942;63;15;2;13
9687697;101;3;2;1
9704140;72;210;70;20
9723058;14;3;2;1
9724030;20;25;27;2
9737175;58;11;2;12
9739875;29;35;3;1
9740555;41;42;18;4
9753674;83;22;2;4
9758570;226;9;4;2
9763883;10;3;2;2
9765374;28;45;2;1
9777409;88;43;5;6
9785437;30;29;4;6
9785755;37;63;4;2
9806512;25;3;2;1
9834445;65;64;52;13
9836548;82;12;2;1
9845651;234;67;2;5
9852301;90;51;3;2
9853124;47;3;2;1
9866328;15;3;2;1
9868410;11;3;2;1
9883410;16;3;2;1
9886761;17;3;2;1
9902678;14;3;2;1
9908628;93;3;2;2
9930258;54;17;2;2
9930468;299;3;2;1
9936504;88;11;26;4
9961755;18;22;2;1
9963490;33;5;10;4
9965426;137;28;42;7
9977050;174;17;35;9
9977994;135;38;2;5
9989799;11;7;2;1
9997569;13;14;3;1
10000581;157;9;2;7
10002056;82;56;22;8
10014728;16;9;2;1
10015331;51;22;3;1
10034844;148;3;2;9
10036128;122;20;74;18
10043308;97;14;2;3
10057458;20;3;2;1
10060471;184;77;25;21
10083866;15;3;2;1
10087508;122;76;8;11
10090576;71;33;2;2
10095163;140;83;4;8
10102378;101;3;2;1
10108908;168;32;2;2
10126447;86;22;7;7
10127690;12;17;2;4
10128372;29;3;2;2
10138385;52;21;2;5
10138752;104;21;3;3
10143760;52;45;2;1
10149094;199;10;9;3
10155110;33;4;3;3
10158549;12;3;2;1
10167520;41;28;2;1
10183215;13;3;2;1
10189104;51;7;5;1
10193863;11;3;2;1
10205014;22;6;8;1
10212019;44;15;51;1
10212702;161;3;2;5
10218811;13;3;2;1
10231033;45;27;41;16
10241794;14;3;2;1
10243307;15;6;2;1
10245898;101;3;2;4
10261212;107;12;2;1
10264816;51;4;8;5
10269730;21;4;2;1
10278116;11;10;2;1
10281791;34;25;2;1
10297467;182;20;3;4
10320714;45;6;2;4
10332860;82;13;127;11
10335839;12;3;2;1
10339801;70;6;41;4
10344144;14;3;2;1
10358362;10;3;2;3
10368251;12;38;2;1
10376669;108;43;3;1
10377501;13;24;3;1
10426422;21;22;32;1
10428844;146;43;3;1
10431210;142;3;2;8
10441477;11;3;2;1
10451316;86;14;13;10
10459177;55;30;9;3
10472630;233;3;2;8
10473013;70;3;2;1
10493046;36;3;2;11
10495703;108;14;3;8
10507628;15;11;2;20
10510651;88;8;2;1
10523174;186;82;57;10
10523839;104;5;59;8
10534262;15;30;2;1
10540322;204;25;5;15
10548139;10;3;2;5
10557940;92;8;2;4
10561188;18;3;2;1
10569668;27;3;2;1
10592137;106;32;2;1
10600340;12;4;2;1
10605688;25;3;2;1
10615123;69;3;2;1
10617607;71;3;68;11
10627170;65;69;15;20
10642900;60;3;2;1
10645536;40;32;2;1
10649615;82;82;7;1
10662728;125;24;16;2
10668310;34;39;30;16
10675693;103;77;5;23
10682968;89;31;27;9
10691322;16;15;75;1
10697830;20;6;2;4
